IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOREIS,NEWREG                              ,2026-04-04-06.59.50.528000,,MAXADMIN
  ADRIANOBRAZ,INACTIVE                            ,2025-01-22-01.00.01.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-02-23-07.00.34.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-02-24-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-02-24-07.15.41.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-02-25-01.00.05.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-02-25-06.47.25.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-02-26-01.00.06.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2025-02-26-06.53.29.000000,,ANDREGIACOMELI
  ADRIANOBRAZ,INACTIVE                            ,2025-05-19-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBRAZ,ACTIVE                              ,2026-01-25-06.20.22.095000,,RAFAELLANA
  ADRIANOBRAZ,INACTIVE                            ,2026-06-26-07.45.03.330000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2019-10-18-11.34.01.000000,,THIAGOFROES
  ADRIANOCALIXTO,INACTIVE                            ,2021-02-26-08.25.29.000000,Usuario inativo por nao acessar o sistema,MAXADOOG
  ADRIANOCALIXTO,ACTIVE                              ,2024-07-24-16.59.44.000000,,GREGORYMATOS
  ADRIANOCALIXTO,INACTIVE                            ,2024-07-25-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2026-05-29-15.47.28.912000,Ticket#2026052929000648 — Acesso ao Máximo - Criação de WO nos sites offshore,ITEAM
  ADRIANODACOSTA,NEWREG                              ,2025-06-15-14.54.08.000000,,ITEAM
  ADRIANODACOSTA,ACTIVE                              ,2025-06-15-14.55.12.000000,,ANDREGIACOMELI
  ADRIANODACOSTA,INACTIVE                            ,2025-08-08-06.00.09.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANORIBEIRO,NEWREG                              ,2024-03-04-15.41.27.000000,,MAXADMIN
  ADRIANORIBEIRO,ACTIVE                              ,2024-03-04-15.43.06.000000,,JOSESANTOS
  ADRIANORIBEIRO,INACTIVE                            ,2024-04-27-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANPEREIRA,ACTIVE                              ,2023-12-19-13.58.43.000000,,ITEAM
  ADSONSANTOS,ACTIVE                              ,2023-09-25-16.14.52.000000,,ITEAM
  ADSONSANTOS,INACTIVE                            ,2023-11-15-05.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADSONSANTOS,ACTIVE                              ,2024-01-11-07.44.12.000000,Ticket#0334856 — Acesso maximo - N06,ITEAM
  ADSONSANTOS,INACTIVE                            ,2024-07-13-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADSONSANTOS,ACTIVE                              ,2025-10-16-15.06.54.000000,,HELPDESK
  ADSONSANTOS,INACTIVE                            ,2025-10-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADSONSANTOS,ACTIVE                              ,2026-03-29-21.19.55.505000,2026032929000133,HELPDESK
  ADSONSANTOS,INACTIVE                            ,2026-05-26-07.45.05.199000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2023-10-03-16.57.44.000000,,ITEAM
  AGNALDOSILVA,INACTIVE                            ,2023-11-23-08.57.50.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2024-12-26-07.05.43.000000,0381169,HELPDESK
  AGNALDOSILVA,BLOCKED                             ,2025-02-23-08.03.22.000000,,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2025-02-23-08.04.39.000000,,MAXADMIN
  AGNALDOSILVA,BLOCKED                             ,2025-03-18-07.29.05.000000,,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2025-03-18-07.34.04.000000,,MAXADMIN
  AGNALDOSILVA,BLOCKED                             ,2025-04-13-18.34.10.000000,,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2025-04-13-18.43.25.000000,,MAXADMIN
  AGNALDOSILVA,INACTIVE                            ,2026-03-26-07.45.00.991000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGNALDOSILVA,ACTIVE                              ,2026-04-08-17.17.46.014000,Ticket#2026040829001161,HELPDESK
  AGOMES,NEWREG                              ,2025-01-02-16.16.58.000000,,MAXADMIN
  AGOMES,ACTIVE                              ,2025-01-02-16.21.04.000000,,JOSESANTOS
  AGOMES,INACTIVE                            ,2025-03-01-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AILTONJUNIOR,ACTIVE                              ,2023-09-25-16.07.45.000000,,ITEAM
  AILTONJUNIOR,INACTIVE                            ,2023-11-15-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AILTONJUNIOR,ACTIVE                              ,2024-01-03-00.42.16.000000,Ticket#0333355,HELPDESK
  AILTONJUNIOR,BLOCKED                             ,2024-01-09-07.32.53.000000,,MAXADMIN
  AILTONJUNIOR,ACTIVE                              ,2024-01-09-07.38.36.000000,,MAXADMIN
  ALAEVITONBRAGA,ACTIVE                              ,2023-09-25-16.15.56.000000,,ITEAM
  ALAEVITONBRAGA,INACTIVE                            ,2023-11-15-05.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAEVITONBRAGA,ACTIVE                              ,2024-01-01-18.34.45.000000,0333152,HELPDESK
  ALAEVITONBRAGA,BLOCKED                             ,2024-01-02-00.31.20.000000,,MAXADMIN
  ALAEVITONBRAGA,ACTIVE                              ,2024-01-02-00.38.25.000000,,MAXADMIN
  ALAEVITONBRAGA,INACTIVE                            ,2026-07-09-07.45.01.358000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANBARROSO,ACTIVE                              ,2018-04-10-08.08.07.000000,,JULINECAETANO
  ALANBARROSO,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  ALANBELIZARIO,ACTIVE                              ,2014-05-06-10.02.00.000000,,MAXADMIN
  ALANBELIZARIO,INACTIVE                            ,2018-07-17-11.21.58.000000,Ticket#013196 — ENC: Emissão de Rescisão Contratua,MAXADMIN
  ALANDEJESUS,NEWREG                              ,2024-11-24-15.22.08.000000,,MAXADMIN
  ALANDEJESUSQUADROS,NEWREG                              ,2024-11-24-15.23.39.000000,,MAXADMIN
  ALANGOMES,NEWREG                              ,2026-06-20-14.11.45.175000,,MAXADMIN
  ALANGOMES,ACTIVE                              ,2026-06-20-14.12.32.998000,,RAFAELLANA
  ALANJESUS,NEWREG                              ,2024-11-24-19.56.00.000000,,MAXADMIN
  ALANJQUADROS,NEWREG                              ,2024-11-24-19.58.38.000000,,MAXADMIN
  ALANMANOELQUADROSDEJESUS,NEWREG                              ,2024-11-24-15.43.30.000000,,MAXADMIN
  ALANMANOELQUADROSDEJESUS,ACTIVE                              ,2024-11-25-06.06.39.000000,,ANDREGIACOMELI
  ALANMANOELQUADROSDEJESUS,INACTIVE                            ,2025-01-16-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANNAPOLEAO,NEWREG                              ,2025-02-05-19.54.53.000000,,MAXADMIN
  ALANNAPOLEAO,ACTIVE                              ,2025-02-05-20.01.22.000000,,ANDREGIACOMELI
  ALANNAPOLEAO,INACTIVE                            ,2025-02-15-01.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ALANOMOREIRA,NEWREG                              ,2025-09-09-12.40.30.000000,,ITEAM
  ALANOMOREIRA,ACTIVE                              ,2025-09-09-12.42.44.000000,,RAFAELLANA
  ALANOMOREIRA,INACTIVE                            ,2026-03-26-07.45.01.511000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOMOREIRA,ACTIVE                              ,2026-06-22-06.41.38.086000,,ANDREGIACOMELI
  ALANOMOREIRA,BLOCKED                             ,2026-06-22-20.27.08.476000,,MAXADMIN
  ALANOMOREIRA,ACTIVE                              ,2026-06-22-20.29.15.374000,,MAXADMIN
  ALANQUADROSDEJESUS,NEWREG                              ,2024-11-24-15.42.12.000000,,MAXADMIN
  ALANQUADROSDEJESUS,ACTIVE                              ,2024-11-25-10.39.15.000000,,ITEAM
  ALANQUADROSDEJESUS,BLOCKED                             ,2024-12-22-09.21.19.000000,,MAXADMIN
  ALANQUADROSDEJESUS,ACTIVE                              ,2024-12-22-09.29.00.000000,,MAXADMIN
  ALANQUADROSDEJESUS,INACTIVE                            ,2025-04-19-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANSOARES,NEWREG                              ,2026-07-02-15.00.54.941000,,MAXADMIN
  ALANSOARES,ACTIVE                              ,2026-07-02-15.14.24.939000,,ANDREGIACOMELI
  ALBERTJASMIM,NEWREG                              ,2026-04-10-18.33.56.732000,,MAXADMIN
  ALBERTJASMIM,ACTIVE                              ,2026-04-10-18.34.25.453000,,ANDREGIACOMELI
  ALBERTJASMIM,INACTIVE                            ,2026-06-12-07.45.04.550000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTMEDEIROS,ACTIVE                              ,2021-12-02-11.43.33.000000,,ITEAM
  ALBERTMEDEIROS,BLOCKED                             ,2025-05-26-05.48.10.000000,,MAXADMIN
  ALBERTMEDEIROS,ACTIVE                              ,2025-05-26-05.48.50.000000,,MAXADMIN
  ALBERTMEDEIROS,BLOCKED                             ,2025-05-27-06.06.03.000000,,MAXADMIN
  ALBERTMEDEIROS,ACTIVE                              ,2025-05-27-06.10.32.000000,,MAXADMIN
  ALBERTMEDEIROS,BLOCKED                             ,2025-06-11-19.50.09.000000,,MAXADMIN
  ALBERTMEDEIROS,ACTIVE                              ,2025-06-11-19.52.07.000000,,MAXADMIN
  ALBERTOJUNQUEIRA,ACTIVE                              ,2019-09-24-16.31.01.000000,,MAXADOOG
  ALBERTOJUNQUEIRA,BLOCKED                             ,2019-09-26-13.43.09.000000,,MAXADMIN
  ALBERTOJUNQUEIRA,ACTIVE                              ,2019-09-26-13.46.29.000000,,MAXADMIN
  ALBERTOJUNQUEIRA,INACTIVE                            ,2021-12-16-05.00.06.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTOPANTOJA,ACTIVE                              ,2025-11-24-14.56.29.000000,,ITEAM
  ALBERTOPANTOJA,INACTIVE                            ,2026-05-19-07.45.05.890000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTOPANTOJA,ACTIVE                              ,2026-06-22-02.29.27.783000,2026062229000015,HELPDESK
  ALCIMARDEMATOS,NEWREG                              ,2026-02-25-19.11.46.212000,,ITEAM
  ALCIMARDEMATOS,ACTIVE                              ,2026-02-25-19.15.05.683000,,RAFAELLANA
  ALCIMARDEMATOS,INACTIVE                            ,2026-04-19-07.45.05.825000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALDEMIRSALAZAR,ACTIVE                              ,2015-12-01-11.39.59.000000,,MAXADMIN
  ALDEMIRSALAZAR,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  ALEFEORTO,NEWREG                              ,2026-05-08-20.27.10.444000,,MAXADMIN
  ALEFEORTO,ACTIVE                              ,2026-05-08-20.28.02.843000,,ANDREGIACOMELI
  ALEFEORTO,INACTIVE                            ,2026-07-05-07.45.02.605000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEFMOTHE,NEWREG                              ,2025-12-24-04.54.32.407000,,ITEAM
  ALEFMOTHE,ACTIVE                              ,2025-12-24-04.55.59.039000,,ANDREGIACOMELI
  ALEFMOTHE,INACTIVE                            ,2026-01-10-01.00.08.049000,Automatic Inativate expired user access,MAXADMIN
  ALEKSANDROMAICK,ACTIVE                              ,2017-06-21-10.03.14.000000,,PAULOPARREIRA
  ALEKSANDROMAICK,INACTIVE                            ,2018-08-28-14.47.25.000000,,MAXADOOG
  ALESSANDROMELO,NEWREG                              ,2025-03-04-12.52.37.000000,,MAXADMIN
  ALESSANDROMELO,ACTIVE                              ,2025-03-04-12.54.23.000000,,ANDREGIACOMELI
  ALESSANDROMELO,INACTIVE                            ,2025-06-06-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROOUTEIRO,ACTIVE                              ,2023-09-13-18.10.05.000000,,ITEAM
  ALESSANDROOUTEIRO,BLOCKED                             ,2023-10-13-07.39.00.000000,,MAXADMIN
  ALESSANDROOUTEIRO,ACTIVE                              ,2023-10-13-07.47.32.000000,,MAXADMIN
  ALESSANDROREIS,NEWREG                              ,2025-01-07-10.02.30.000000,,MAXADMIN
  ALESSANDROREIS,ACTIVE                              ,2025-01-07-10.06.32.000000,,JOSESANTOS
  ALESSANDROREIS,INACTIVE                            ,2025-03-12-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROTINOCO,ACTIVE                              ,2014-05-01-23.05.11.000000,,MAXADMIN
  ALESSANDROTINOCO,BLOCKED                             ,2020-09-21-13.20.28.000000,,MAXADMIN
  ALESSANDROTINOCO,ACTIVE                              ,2020-09-21-13.24.36.000000,,MAXADMIN
  ALESSANDROTINOCO,BLOCKED                             ,2020-09-21-15.18.22.000000,,MAXADMIN
  ALESSANDROTINOCO,ACTIVE                              ,2020-09-21-15.24.38.000000,,MAXADMIN
  ALESSANDROTINOCO,INACTIVE                            ,2021-01-14-15.17.03.000000,Ticket#0183051 — Emissão de Rescisão Contratual,ITEAM
  ALEXANDERMARAVILHA,NEWREG                              ,2024-01-30-10.34.40.000000,,MAXREG
  ALEXANDERMARAVILHA,ACTIVE                              ,2024-01-30-10.51.25.000000,,MAXADOOG
  ALEXANDERMARAVILHA,INACTIVE                            ,2024-03-21-06.00.04.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDERMARAVILHA,ACTIVE                              ,2024-09-18-17.31.07.000000,,JOSESANTOS
  ALEXANDERMARAVILHA,INACTIVE                            ,2024-11-17-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDEROLIVEIRA,NEWREG                              ,2023-12-10-15.49.58.000000,,MAXADMIN
  ALEXANDEROLIVEIRA,ACTIVE                              ,2023-12-10-15.54.31.000000,,JOSESANTOS
  ALEXANDEROLIVEIRA,INACTIVE                            ,2023-12-24-00.00.02.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXANDEROLIVEIRA,ACTIVE                              ,2024-03-15-06.19.45.000000,,ANDREGIACOMELI
  ALEXANDEROLIVEIRA,INACTIVE                            ,2024-05-05-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDEROLIVEIRA,ACTIVE                              ,2024-07-02-10.36.19.000000,,HELPDESK
  ALEXANDEROLIVEIRA,INACTIVE                            ,2025-02-10-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDEROLIVEIRA,ACTIVE                              ,2025-06-09-06.45.26.000000,,ANDREGIACOMELI
  ALEXANDEROLIVEIRA,INACTIVE                            ,2025-07-30-06.00.10.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDEROLIVEIRA,ACTIVE                              ,2025-09-03-21.12.15.000000,,RAFAELLANA
  ALEXANDEROLIVEIRA,INACTIVE                            ,2026-03-26-07.45.01.755000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDERRIBEIRO,ACTIVE                              ,2019-07-31-07.27.46.000000,,MAXADOOG
  ALEXANDERRIBEIRO,INACTIVE                            ,2022-03-31-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDERVIANA,ACTIVE                              ,2019-07-09-18.26.01.000000,,MAXADOOG
  ALEXANDERVIANA,INACTIVE                            ,2020-02-04-17.01.05.000000,Ticket#0124471 - Rescisão Contratual NOVEMBRO 2019,JULINECAETANO
  ALEXANDRAMIRANDA,ACTIVE                              ,2014-08-01-10.43.51.000000,,MAXADMIN
  ALEXANDRAMIRANDA,INACTIVE                            ,2016-11-30-15.30.01.000000,Desativando usuarios que nao fizeram login em 2016,MAXADOOG
  ALEXANDREANDRADE,ACTIVE                              ,2019-09-13-11.36.51.000000,,THIAGOFROES
  ALEXANDREANDRADE,BLOCKED                             ,2019-09-16-15.13.34.000000,,MAXADMIN
  ALEXANDREANDRADE,ACTIVE                              ,2019-09-16-15.14.00.000000,,MAXADMIN
  ALEXANDREANDRADE,INACTIVE                            ,2021-02-26-08.25.29.000000,Usuario inativo por nao acessar o sistema,MAXADOOG
  ALEXANDREBONAVITA,ACTIVE                              ,2019-10-21-14.04.15.000000,,THIAGOFROES
  ALEXANDREBONAVITA,BLOCKED                             ,2019-11-28-15.13.38.000000,,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2019-11-28-15.13.50.000000,,MAXADMIN
  ALEXANDREBONAVITA,BLOCKED                             ,2019-11-28-15.21.11.000000,,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2019-11-28-15.23.51.000000,,MAXADMIN
  ALEXANDREBONAVITA,INACTIVE                            ,2021-07-10-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2022-03-03-09.12.44.000000,0230571 — Reestabelecer acesso Sistema MAXIMO,ITEAM
  ALEXANDREBONAVITA,INACTIVE                            ,2022-03-04-06.00.05.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2026-01-05-16.40.02.409000,2026010529001065,HELPDESK
  ALEXANDREBONAVITA,INACTIVE                            ,2026-03-26-07.45.01.058000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBRAGA,NEWREG                              ,2026-01-12-02.58.36.484000,,ITEAM
  ALEXANDREBRAGA,ACTIVE                              ,2026-01-12-03.00.53.018000,,ANDREGIACOMELI
  ALEXANDREBRAGA,INACTIVE                            ,2026-03-26-07.45.04.733000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRECURY,ACTIVE                              ,2026-01-13-12.50.26.082000,,ITEAM
  ALEXANDRECURY,INACTIVE                            ,2026-03-26-07.45.04.784000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREFEIJO,NEWREG                              ,2026-03-31-09.56.41.959000,,MAXADMIN
  ALEXANDREFEIJO,ACTIVE                              ,2026-03-31-10.00.50.970000,,RAFAELLANA
  ALEXANDREFEIJO,INACTIVE                            ,2026-04-14-01.00.00.338000,Automatic Inativate expired user access,MAXADMIN
  ALEXANDRELIMA,NEWREG                              ,2025-07-19-09.54.33.000000,,ITEAM
  ALEXANDRELIMA,ACTIVE                              ,2025-07-19-09.55.39.000000,,ANDREGIACOMELI
  ALEXANDRELIMA,INACTIVE                            ,2025-09-21-06.00.20.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREMEDEIROS,NEWREG                              ,2025-05-04-19.13.33.000000,,ITEAM
  ALEXANDREMEDEIROS,ACTIVE                              ,2025-05-04-19.14.57.000000,,ANDREGIACOMELI
  ALEXANDREMEDEIROS,INACTIVE                            ,2025-06-24-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERIBEIRO,ACTIVE                              ,2018-07-09-11.04.53.000000,,JULINECAETANO
  ALEXANDRERIBEIRO,BLOCKED                             ,2018-09-03-13.33.49.000000,,MAXADMIN
  ALEXANDRERIBEIRO,ACTIVE                              ,2018-09-26-14.43.47.000000,,MAXADMIN
  ALEXANDRERIBEIRO,INACTIVE                            ,2019-01-25-16.17.24.000000,Inativando usuários que nao acessam o ambiente nos ultimos 6 meses,MAXADOOG
  ALEXANDRERIBEIRO,ACTIVE                              ,2019-05-30-10.40.47.000000,,MAXADOOG
