IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  ABILIOPEDROSO,NEWREG                              ,2025-02-15-19.43.21.000000,,MAXADMIN
  ALCIDESFELIPE,INACTIVE                            ,2024-02-27-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALCIDESFELIPE,ACTIVE                              ,2024-02-22-08.43.02.000000,Ticket#0341822 — Maximo Odn1 - Usuário inativo,ITEAM
  ALCIDESFELIPE,INACTIVE                            ,2024-01-10-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALCIDESFELIPE,ACTIVE                              ,2023-12-25-13.19.03.000000,,RAPHAELBARBOSA
  ALCIDESFELIPE,ACTIVE                              ,2024-03-02-09.42.19.000000,,MAXADOOG
  ALCIDESFELIPE,ACTIVE                              ,2024-02-26-10.05.43.000000,Ticket#0342313 — Reset de senha MAXIMO,ITEAM
  ALCIDESFELIPE,INACTIVE                            ,2024-02-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALCIDESFELIPE,INACTIVE                            ,2024-02-22-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALCIDESFELIPE,ACTIVE                              ,2024-02-21-09.05.50.000000,Ticket#0341596 — Erro ao acessar o Máximo.,ITEAM
  ALCIDESFELIPE,INACTIVE                            ,2024-06-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALCIDESMENDONCA,NEWREG                              ,2023-11-28-07.43.07.000000,,MAXREG
  ALCIMARMARIANO,ACTIVE                              ,2024-10-22-13.56.06.000000,,RAPHAELBARBOSA
  ALCIMARMARIANO,INACTIVE                            ,2024-12-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALCIMARMARIANO,NEWREG                              ,2024-10-22-13.55.29.000000,,MAXADMIN
  ALEFRODRIGUES,ACTIVE                              ,2025-02-16-13.52.07.000000,,RENATOSOARES
  ALEFRODRIGUES,INACTIVE                            ,2025-04-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEFRODRIGUES,NEWREG                              ,2025-02-16-13.51.40.000000,,MAXADMIN
  ALEKSANDROMAICK,ACTIVE                              ,2017-06-21-08.55.59.000000,,PAULOPARREIRA
  ALEKSANDROMAICK,INACTIVE                            ,2019-02-06-14.29.38.000000,,MAXADOOG
  ALESSANDROJARDIM,NEWREG                              ,2026-06-21-19.43.31.558000,,MAXADMIN
  ALESSANDROJARDIM,ACTIVE                              ,2026-06-21-19.48.03.982000,,LUIZFELIPE
  ALESSANDROPASINI,ACTIVE                              ,2014-10-02-18.09.34.000000,,MAXADMIN
  ALESSANDROPASINI,ACTIVE                              ,2021-09-03-14.06.05.000000,Ticket#0211879 — Acesso ao Maximo,ITEAM
  ALESSANDROPASINI,INACTIVE                            ,2021-08-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROPASINI,INACTIVE                            ,2022-10-29-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDERRIBEIRO,ACTIVE                              ,2017-01-17-16.34.44.000000,,MAXADMIN
  ALEXANDERRIBEIRO,INACTIVE                            ,2019-08-01-11.03.53.000000,Integrante foi transferido para a N06,MAXADOOG
  ALEXANDREALAIM,NEWREG                              ,2026-06-01-10.01.47.805000,,MAXADMIN
  ALEXANDREALAIM,ACTIVE                              ,2026-06-01-19.25.24.656000,,RENATOSOARES
  ALEXANDREBONAVITA,INACTIVE                            ,2020-03-11-11.11.44.000000,usuario sem acesso ao sistema nos ultimos seis meses,MAXADOOG
  ALEXANDREBONAVITA,ACTIVE                              ,2022-03-03-09.14.24.000000,0230571 — Reestabelecer acesso Sistema MAXIMO,ITEAM
  ALEXANDREBONAVITA,ACTIVE                              ,2019-10-21-14.00.12.000000,,THIAGOFROES
  ALEXANDREBONAVITA,INACTIVE                            ,2022-03-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2024-05-02-17.18.24.000000,,MAXADOOG
  ALEXANDREBONAVITA,INACTIVE                            ,2024-06-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2026-01-05-16.35.20.277000,2026010529001065,HELPDESK
  ALEXANDREBONAVITA,INACTIVE                            ,2026-03-26-07.45.01.203000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRECURY,ACTIVE                              ,2026-01-13-12.46.07.817000,,ITEAM
  ALEXANDRECURY,INACTIVE                            ,2026-03-26-07.45.03.004000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREFILHO,ACTIVE                              ,2025-01-24-19.41.19.000000,,LUIZFELIPE
  ALEXANDREFILHO,INACTIVE                            ,2025-04-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREFILHO,NEWREG                              ,2025-01-24-19.38.47.000000,,MAXADMIN
  ALEXANDREGALVAO,ACTIVE                              ,2024-06-27-08.02.34.000000,,RAPHAELBARBOSA
  ALEXANDREGALVAO,NEWREG                              ,2024-06-27-07.59.48.000000,,MAXADMIN
  ALEXANDREGALVAO,INACTIVE                            ,2024-08-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREHELON,INACTIVE                            ,2024-06-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREHELON,NEWREG                              ,2024-04-07-09.35.23.000000,,MAXADMIN
  ALEXANDREHELON,ACTIVE                              ,2024-04-07-09.37.07.000000,,RAPHAELBARBOSA
  ALEXANDREHELON,INACTIVE                            ,2025-10-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREHELON,NEWREG                              ,2025-08-17-06.08.39.000000,,ITEAM
  ALEXANDREHELON,ACTIVE                              ,2025-08-17-06.09.55.000000,,LUIZFELIPE
  ALEXANDREJOSE,NEWREG                              ,2025-10-12-14.29.43.000000,,ITEAM
  ALEXANDREJOSE,INACTIVE                            ,2026-03-26-07.45.02.034000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREJOSE,ACTIVE                              ,2025-10-12-14.35.37.000000,,LUIZFELIPE
  ALEXANDREMEDEIROS,INACTIVE                            ,2024-02-08-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREMEDEIROS,ACTIVE                              ,2023-12-18-19.45.54.000000,,RAPHAELBARBOSA
  ALEXANDREMEDEIROS,NEWREG                              ,2023-12-18-19.43.04.000000,,MAXADMIN
  ALEXANDREOLIVEIRA,NEWREG                              ,2024-12-29-19.43.36.000000,,MAXADMIN
  ALEXANDREOLIVEIRA,ACTIVE                              ,2024-12-29-19.52.51.000000,,LUIZFELIPE
  ALEXANDREOLIVEIRA,INACTIVE                            ,2025-02-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERIBEIRO,INACTIVE                            ,2019-01-25-16.33.00.000000,Inativando usuario que nao acessaram o sistema nos ultimos seis meses,MAXADOOG
  ALEXANDRERIBEIRO,INACTIVE                            ,2021-09-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERIBEIRO,INACTIVE                            ,2021-07-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERIBEIRO,ACTIVE                              ,2018-09-26-14.36.55.000000,,MAXADMIN
  ALEXANDRERIBEIRO,BLOCKED                             ,2018-09-03-13.28.41.000000,,MAXADMIN
  ALEXANDRERIBEIRO,ACTIVE                              ,2021-02-01-11.26.42.000000,Ticket#0184874 — MAXIMO # ODN1 - Acesso Negado,ITEAM
  ALEXANDRERIBEIRO,INACTIVE                            ,2020-05-29-13.47.03.000000,Ribeiro está na N06,MAXADOOG
  ALEXANDRERIBEIRO,ACTIVE                              ,2021-07-28-18.21.25.000000,,MAXADOOG
  ALEXANDRERIBEIRO,ACTIVE                              ,2019-05-30-10.42.37.000000,,MAXADOOG
  ALEXANDRERIBEIRO,ACTIVE                              ,2018-07-09-10.58.35.000000,,JULINECAETANO
  ALEXANDREROCHA,NEWREG                              ,2026-05-18-19.36.24.832000,,MAXADMIN
  ALEXANDREROCHA,ACTIVE                              ,2026-05-18-19.38.57.253000,,LUIZFELIPE
  ALEXANDREROCHA,INACTIVE                            ,2026-07-08-07.45.01.478000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERODRIGUES,ACTIVE                              ,2018-05-31-18.41.01.000000,,MAXADOOG
  ALEXANDRERODRIGUES,ACTIVE                              ,2022-05-28-07.47.41.000000,,MAXADMIN
  ALEXANDRERODRIGUES,ACTIVE                              ,2021-02-14-06.49.10.000000,,MAXADMIN
  ALEXANDRERODRIGUES,BLOCKED                             ,2021-02-13-15.51.06.000000,,MAXADMIN
  ALEXANDRERODRIGUES,BLOCKED                             ,2021-02-14-16.12.09.000000,,MAXADMIN
  ALEXANDRERODRIGUES,ACTIVE                              ,2021-02-05-18.59.10.000000,,MAXADMIN
