IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AAMEDEIROS,NEWREG                              ,2024-06-10-09.34.18.000000,,MAXADMIN
  ADERALDOLOPES,ACTIVE                              ,2025-05-10-13.39.29.000000,,FELIPEPAIXAO
  ADERALDOLOPES,INACTIVE                            ,2025-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADERALDOLOPES,NEWREG                              ,2025-05-10-13.38.42.000000,,ITEAM
  ADERALDOPEREIRA,ACTIVE                              ,2025-05-08-13.53.28.000000,,FELIPEPAIXAO
  ADERALDOPEREIRA,INACTIVE                            ,2025-04-20-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADERALDOPEREIRA,ACTIVE                              ,2025-04-19-23.01.41.000000,,FELIPEPAIXAO
  ADERALDOPEREIRA,NEWREG                              ,2025-04-19-22.49.21.000000,,MAXADMIN
  ADERALDOPEREIRA,ACTIVE                              ,2025-05-09-14.28.27.000000,,FELIPEPAIXAO
  ADERALDOPEREIRA,INACTIVE                            ,2025-05-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADERALDOPEREIRA,INACTIVE                            ,2025-04-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADERALDOPEREIRA,ACTIVE                              ,2025-05-07-15.27.46.000000,,FELIPEPAIXAO
  ADERALDOPEREIRA,INACTIVE                            ,2025-05-08-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADERALDOPEREIRA,ACTIVE                              ,2025-04-20-01.36.40.000000,,SINVALJUNIOR
  ADERALDOPEREIRA,INACTIVE                            ,2025-05-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADILIOLACERDA,ACTIVE                              ,2014-03-25-17.05.02.000000,,MAXADMIN
  ADILIOLACERDA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADILSONCARVALHO,ACTIVE                              ,2023-10-20-15.36.11.000000,,ITEAM
  ADILSONCARVALHO,ACTIVE                              ,2025-02-25-14.23.09.000000,,MAXADMIN
  ADILSONCARVALHO,BLOCKED                             ,2025-02-25-14.16.02.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2021-03-04-11.39.30.000000,,ITEAM
  ADIVIOFERNANDES,ACTIVE                              ,2023-06-25-04.27.37.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2023-05-31-16.59.32.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2023-06-25-04.21.10.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2023-06-23-21.37.37.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2023-05-31-16.52.29.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2023-05-27-22.59.32.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2023-05-26-20.44.26.000000,,MAXADMIN
  ADIVIOFERNANDES,INACTIVE                            ,2022-11-17-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2022-03-31-13.19.52.000000,,ITEAM
  ADIVIOFERNANDES,INACTIVE                            ,2022-03-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2022-01-10-08.28.43.000000,Ticket#0225112,ITEAM
  ADIVIOFERNANDES,INACTIVE                            ,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2022-12-09-04.35.54.000000,Ticket#0267358,HELPDESK
  ADIVIOFERNANDES,ACTIVE                              ,2024-08-17-19.08.50.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2024-06-29-05.57.02.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2024-05-08-06.50.42.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2024-05-08-06.43.08.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2024-06-29-06.04.37.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2023-05-27-22.52.21.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2023-06-23-21.29.57.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2023-05-26-20.49.31.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2024-08-17-19.07.00.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2025-01-02-20.29.57.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2025-03-10-23.06.18.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2025-01-02-18.29.57.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2024-12-31-18.29.20.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2024-12-31-18.22.23.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2025-01-02-18.23.00.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2025-07-14-05.48.16.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2025-06-28-18.29.03.000000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2025-06-28-18.38.15.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2025-07-14-05.41.57.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2025-03-10-23.04.05.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2025-01-02-20.29.13.000000,,MAXADMIN
  ADIVIOFERNANDES,BLOCKED                             ,2026-06-28-08.18.36.059000,,MAXADMIN
  ADIVIOFERNANDES,ACTIVE                              ,2026-06-28-08.18.57.083000,,MAXADMIN
  ADLERBAHIA,ACTIVE                              ,2014-03-30-10.30.35.000000,,MAXADMIN
  ADLERBAHIA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADLERBAHIA,ACTIVE                              ,2018-04-10-08.35.36.000000,Ticket#07793 — Acesso ao Maximo ODN2.,JULINECAETANO
  ADLERDANILO,ACTIVE                              ,2014-03-26-10.57.07.000000,,MAXADMIN
  ADLERDANILO,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADRIANNIEWINSKI,ACTIVE                              ,2014-03-26-11.42.16.000000,,MAXADMIN
  ADRIANNIEWINSKI,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ADRIANOCALIXTO,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  ADRIANOCALIXTO,ACTIVE                              ,2019-10-18-11.26.41.000000,,THIAGOFROES
  ADRIANOCALIXTO,INACTIVE                            ,2021-02-26-08.45.15.000000,Usuarios sem acessar o sistema,MAXADOOG
  ADRIANOCALIXTO,ACTIVE                              ,2020-05-21-08.46.17.000000,,MAXADOOG
  ADRIANOCALIXTO,INACTIVE                            ,2024-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2024-07-24-16.56.26.000000,,GREGORYMATOS
  ADRIANOCALIXTO,ACTIVE                              ,2026-05-29-15.44.51.992000,Ticket#2026052929000648 — Acesso ao Máximo - Criação de WO nos sites offshore,ITEAM
  ADRIANOCARVALHODACOSTA,ACTIVE                              ,2023-12-21-06.48.04.000000,,FELIPEPAIXAO
  ADRIANOCARVALHODACOSTA,INACTIVE                            ,2023-12-26-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOCARVALHODACOSTA,NEWREG                              ,2023-12-21-06.45.49.000000,,MAXADMIN
  ADRIANOFREITAS,NEWREG                              ,2026-06-02-13.14.38.603000,,MAXADMIN
  ADRIANOFREITAS,ACTIVE                              ,2026-06-02-13.15.10.071000,,FELIPEPAIXAO
  ADRIANOGONCALVES,NEWREG                              ,2024-10-12-19.13.51.000000,,MAXADMIN
  ADRIANOGONCALVES,INACTIVE                            ,2024-10-16-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANOGONCALVES,ACTIVE                              ,2024-10-12-19.15.01.000000,,SINVALJUNIOR
  ADRIANOMACIEL,ACTIVE                              ,2025-11-17-11.11.18.000000,,FELIPEPAIXAO
  ADRIANOMACIEL,BLOCKED                             ,2025-11-27-06.14.26.000000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2025-11-27-06.17.34.000000,,MAXADMIN
  ADRIANOMACIEL,NEWREG                              ,2025-11-17-11.09.53.000000,,ITEAM
  ADRIANOMACIEL,BLOCKED                             ,2026-02-16-10.34.26.370000,,MAXADMIN
  ADRIANOMACIEL,INACTIVE                            ,2026-05-12-07.45.01.258000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-23-21.55.29.666000,,MAXADMIN
  ADRIANOMACIEL,BLOCKED                             ,2026-02-23-21.51.53.413000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-23-21.45.29.576000,,MAXADMIN
  ADRIANOMACIEL,BLOCKED                             ,2026-02-23-21.44.24.745000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-23-21.35.29.728000,,MAXADMIN
  ADRIANOMACIEL,BLOCKED                             ,2026-02-23-21.27.02.258000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-23-21.25.29.584000,,MAXADMIN
  ADRIANOMACIEL,BLOCKED                             ,2026-02-23-21.17.44.862000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-17-06.15.18.172000,,MAXADMIN
  ADRIANOMACIEL,BLOCKED                             ,2026-02-17-06.11.46.967000,,MAXADMIN
  ADRIANOMACIEL,ACTIVE                              ,2026-02-16-10.35.16.683000,,MAXADMIN
  ADRIANOVIEIRA,NEWREG                              ,2025-12-11-07.41.02.704000,,ITEAM
  ADRIANOVIEIRA,ACTIVE                              ,2026-04-04-00.26.15.162000,Ticket#2026040429000026,HELPDESK
  ADRIANOVIEIRA,INACTIVE                            ,2026-03-28-07.45.00.720000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOVIEIRA,ACTIVE                              ,2025-12-11-07.42.27.764000,,SINVALJUNIOR
  ADSANTOS,NEWREG                              ,2025-05-27-07.49.29.000000,,ITEAM
  ADSANTOS,INACTIVE                            ,2025-08-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADSANTOS,ACTIVE                              ,2025-05-27-07.55.21.000000,,SINVALJUNIOR
  AFONSOCASTRO,ACTIVE                              ,2017-04-27-16.09.39.000000,,JULINECAETANO
  AFONSOCASTRO,INACTIVE                            ,2022-08-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGACITIAGO,NEWREG                              ,2024-09-27-13.42.41.000000,,MAXADMIN
  AGACITIAGO,INACTIVE                            ,2024-10-11-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AGACITIAGO,ACTIVE                              ,2024-09-27-13.59.20.000000,,FELIPEPAIXAO
  AGATHAALVARENGA,ACTIVE                              ,2016-12-12-08.38.02.000000,,MAXADOOG
  AGATHAALVARENGA,INACTIVE                            ,2019-09-06-16.58.54.000000,,MAXADOOG
  AGNALDOB,ACTIVE                              ,2024-10-28-09.04.58.000000,,FELIPEPAIXAO
  AGNALDOB,NEWREG                              ,2024-10-28-09.04.15.000000,,MAXADMIN
  AGNALDOB,INACTIVE                            ,2024-12-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGNALDOCARMO,ACTIVE                              ,2026-04-16-15.55.48.485000,,ITEAM
  ALANBARROSO,ACTIVE                              ,2018-04-10-07.51.54.000000,,JULINECAETANO
  ALANBARROSO,INACTIVE                            ,2019-07-18-17.55.48.000000,Ticket#088012 — Emissão de Rescisão Contratual - ALAN AUGUSTO BARROSO,THIAGOFROES
  ALANCORREABARCELOS,NEWREG                              ,2024-04-19-19.01.42.000000,,MAXADMIN
  ALANCORREABARCELOS,INACTIVE                            ,2024-06-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANCORREABARCELOS,ACTIVE                              ,2024-04-20-16.35.44.000000,,SINVALJUNIOR
  ALANMOREIRA,ACTIVE                              ,2024-12-02-20.26.46.000000,,SINVALJUNIOR
  ALANMOREIRA,INACTIVE                            ,2025-02-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANMOREIRA,NEWREG                              ,2024-12-02-20.26.06.000000,,MAXADMIN
  ALANOLIVEIRA,ACTIVE                              ,2014-03-26-11.57.05.000000,,MAXADMIN
  ALANOLIVEIRA,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ALANOLIVEIRA,ACTIVE                              ,2026-04-10-09.05.24.453000,Ticket#2026041029000041,HELPDESK
  ALANOLIVEIRA,INACTIVE                            ,2026-06-02-07.45.01.316000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANOREIS,ACTIVE                              ,2025-02-22-14.10.00.000000,,SINVALJUNIOR
  ALANOREIS,NEWREG                              ,2025-02-22-14.09.14.000000,,MAXADMIN
  ALANOREIS,INACTIVE                            ,2025-04-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANPESSANHA,NEWREG                              ,2025-09-14-18.21.12.000000,,ITEAM
  ALANPESSANHA,ACTIVE                              ,2025-09-14-18.22.05.000000,,SINVALJUNIOR
  ALANPINHEIRO,NEWREG                              ,2025-06-09-06.44.35.000000,,ITEAM
  ALANPINHEIRO,ACTIVE                              ,2025-10-24-16.08.25.000000,,FELIPEPAIXAO
  ALANPINHEIRO,INACTIVE                            ,2026-03-26-07.45.00.922000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANSAMPAIO,NEWREG                              ,2024-09-22-16.45.54.000000,,MAXADMIN
  ALANSAMPAIO,INACTIVE                            ,2024-11-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANSAMPAIO,ACTIVE                              ,2024-09-22-16.51.16.000000,,FELIPEPAIXAO
  ALBERTROGER,NEWREG                              ,2024-12-21-09.21.16.000000,,MAXADMIN
  ALBERTROGER,INACTIVE                            ,2025-02-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTROGER,ACTIVE                              ,2024-12-21-09.25.43.000000,,FELIPEPAIXAO
  ALCANTARA,INACTIVE                            ,2024-05-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALCANTARA,ACTIVE                              ,2024-02-07-16.07.34.000000,,SINVALJUNIOR
  ALCANTARA,NEWREG                              ,2024-02-07-16.05.28.000000,,MAXADMIN
  ALDEMIRSALAZAR,ACTIVE                              ,2015-11-06-09.10.28.000000,,MAXADMIN
  ALDEMIRSALAZAR,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ALEFBASTOS,ACTIVE                              ,2023-10-20-15.37.12.000000,,ITEAM
  ALEFBASTOS,ACTIVE                              ,2024-05-17-08.47.22.000000,,HELPDESK
  ALEFBASTOS,INACTIVE                            ,2023-12-10-18.52.52.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEFBASTOS,BLOCKED                             ,2025-11-26-18.01.28.000000,,MAXADMIN
  ALEFBASTOS,ACTIVE                              ,2025-11-26-18.07.34.000000,,MAXADMIN
  ALEHANDRO,ACTIVE                              ,2025-01-27-06.52.12.000000,,SINVALJUNIOR
  ALEHANDRO,INACTIVE                            ,2025-03-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEHANDRO,NEWREG                              ,2025-01-27-06.47.03.000000,,MAXADMIN
  ALEHANDRON,ACTIVE                              ,2024-10-05-10.18.59.000000,,SINVALJUNIOR
  ALEHANDRON,INACTIVE                            ,2025-03-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEHANDRON,NEWREG                              ,2024-10-05-10.18.31.000000,,MAXADMIN
  ALEHANDROPEREIRA,ACTIVE                              ,2025-05-31-09.02.52.000000,,FELIPEPAIXAO
  ALEHANDROPEREIRA,INACTIVE                            ,2025-07-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEHANDROPEREIRA,NEWREG                              ,2025-05-31-09.02.07.000000,,ITEAM
  ALEHANDROPN,INACTIVE                            ,2025-11-15-06.00.12.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEHANDROPN,ACTIVE                              ,2025-09-15-19.39.24.000000,,SINVALJUNIOR
  ALEHANDROPN,NEWREG                              ,2025-09-15-19.38.35.000000,,ITEAM
  ALEILTONMEIRELES,ACTIVE                              ,2023-10-20-15.37.46.000000,,ITEAM
  ALEILTONMEIRELES,INACTIVE                            ,2024-02-11-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEKSANDROMAICK,ACTIVE                              ,2017-06-21-09.02.28.000000,,PAULOPARREIRA
  ALEKSANDROMAICK,INACTIVE                            ,2018-09-03-09.42.39.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  ALESSANDROANDRADE,NEWREG                              ,2024-07-27-20.19.13.000000,,MAXADMIN
  ALESSANDROANDRADE,ACTIVE                              ,2024-07-27-20.20.35.000000,,FELIPEPAIXAO
  ALESSANDROANDRADE,INACTIVE                            ,2024-09-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROCAVALI,INACTIVE                            ,2022-01-12-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROCAVALI,ACTIVE                              ,2021-11-22-16.12.09.000000,,ITEAM
  ALESSANDROCORREA,ACTIVE                              ,2014-03-26-11.39.25.000000,,MAXADMIN
  ALESSANDROCORREA,INACTIVE                            ,2023-06-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROJARDIM,NEWREG                              ,2026-04-23-07.49.53.558000,,MAXADMIN
  ALESSANDROJARDIM,INACTIVE                            ,2026-04-29-01.00.01.543000,Automatic Inativate expired user access,MAXADMIN
  ALESSANDROJARDIM,ACTIVE                              ,2026-04-23-07.53.33.293000,,SINVALJUNIOR
  ALESSANDROOUTEIRO,ACTIVE                              ,2014-03-26-09.53.13.000000,,MAXADMIN
  ALESSANDROOUTEIRO,ACTIVE                              ,2018-07-15-07.02.09.000000,,HELPDESK
  ALESSANDROOUTEIRO,INACTIVE                            ,2023-10-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROOUTEIRO,BLOCKED                             ,2018-07-13-10.55.36.000000,,MAXADMIN
  ALESSANDROPINTO,ACTIVE                              ,2014-03-26-10.59.09.000000,,MAXADMIN
  ALESSANDROPINTO,ACTIVE                              ,2018-03-26-16.43.56.000000,Ticket#07029,MAXADOOG
  ALESSANDROPINTO,INACTIVE                            ,2019-11-08-15.03.27.000000,Ticket#0103643 - Desligamento - 07/11/2019,JULINECAETANO
  ALESSANDROPINTO,INACTIVE                            ,2016-12-01-11.44.23.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ALESSANDROSILVA,ACTIVE                              ,2014-06-25-10.14.47.000000,,MAXADMIN
  ALESSANDROSOBRA,ACTIVE                              ,2025-01-08-12.36.05.000000,,GREGORYMATOS
  ALEX,NEWREG                              ,2026-04-20-10.37.05.532000,,MAXADMIN
  ALEX,INACTIVE                            ,2026-06-16-07.45.00.764000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEX,ACTIVE                              ,2026-04-20-10.38.04.921000,,FELIPEPAIXAO
  ALEXANDEMARAVILHAPECANHA,NEWREG                              ,2024-12-10-18.37.47.000000,,MAXADMIN
  ALEXANDERMARAVILHAPECANHA,NEWREG                              ,2024-12-10-18.38.28.000000,,MAXADMIN
  ALEXANDERPECANHA,INACTIVE                            ,2024-12-01-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXANDERPECANHA,ACTIVE                              ,2024-11-30-15.11.11.000000,,SINVALJUNIOR
  ALEXANDERPECANHA,NEWREG                              ,2024-11-30-15.10.14.000000,,MAXADMIN
  ALEXANDERVIANA,ACTIVE                              ,2014-03-25-16.07.13.000000,,MAXADMIN
  ALEXANDERVIANA,BLOCKED                             ,2018-07-01-20.03.57.000000,,MAXADMIN
  ALEXANDERVIANA,ACTIVE                              ,2018-07-01-22.32.55.000000,Ticket#012114,HELPDESK
  ALEXANDERVIANA,BLOCKED                             ,2019-06-16-21.44.47.000000,,MAXADMIN
  ALEXANDERVIANA,INACTIVE                            ,2019-09-12-11.24.13.000000,,MAXADOOG
  ALEXANDERVIANA,ACTIVE                              ,2019-06-16-21.50.08.000000,,MAXADMIN
  ALEXANDREALVES,NEWREG                              ,2025-06-04-08.24.35.000000,,ITEAM
  ALEXANDREALVES,INACTIVE                            ,2025-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREALVES,ACTIVE                              ,2025-06-04-08.29.17.000000,,FELIPEPAIXAO
  ALEXANDREAMEDEIROS,INACTIVE                            ,2024-01-12-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXANDREAMEDEIROS,NEWREG                              ,2024-01-04-20.30.12.000000,,MAXADMIN
  ALEXANDREAMEDEIROS,INACTIVE                            ,2024-05-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREAMEDEIROS,ACTIVE                              ,2024-04-01-09.50.30.000000,,MAXADOOG
  ALEXANDREAMEDEIROS,ACTIVE                              ,2024-01-05-06.46.45.000000,,SINVALJUNIOR
  ALEXANDREB,ACTIVE                              ,2024-09-30-13.19.06.000000,,FELIPEPAIXAO
  ALEXANDREB,NEWREG                              ,2024-09-30-13.17.31.000000,,MAXADMIN
  ALEXANDREB,INACTIVE                            ,2024-11-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,INACTIVE                            ,2020-03-11-11.39.29.000000,usuario sem acesso nos ultimos seis meses,MAXADOOG
  ALEXANDREBONAVITA,INACTIVE                            ,2022-04-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2022-03-03-09.17.30.000000,0230571 — Reestabelecer acesso Sistema MAXIMO,ITEAM
  ALEXANDREBONAVITA,ACTIVE                              ,2019-10-21-14.11.39.000000,,THIAGOFROES
  ALEXANDREBONAVITA,ACTIVE                              ,2025-02-24-16.49.55.000000,,MAXADOOG
  ALEXANDREBONAVITA,INACTIVE                            ,2025-04-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2026-01-05-16.38.44.766000,2026010529001065,HELPDESK
  ALEXANDREBONAVITA,INACTIVE                            ,2026-03-26-07.45.00.429000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBOZZO,ACTIVE                              ,2023-01-20-15.02.10.000000,,ITEAM
  ALEXANDREBRAGA,ACTIVE                              ,2024-11-17-14.23.49.000000,,SINVALJUNIOR
  ALEXANDREBRAGA,INACTIVE                            ,2025-01-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBRAGA,NEWREG                              ,2024-11-17-14.22.41.000000,,MAXADMIN
  ALEXANDRECURY,ACTIVE                              ,2026-01-13-12.50.28.271000,,ITEAM
