IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  ADELSONJUNIOR,INACTIVE                            ,2024-02-17-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMARJUNIOR,NEWREG                              ,2023-12-18-20.33.44.000000,,MAXADMIN
  ADEMARJUNIOR,INACTIVE                            ,2023-12-18-20.40.26.000000,,CAROLINABRAGA
  ADEMARJUNIOR,ACTIVE                              ,2023-12-18-22.06.26.000000,,MAXADOOG
  ADEMARJUNIOR,INACTIVE                            ,2024-02-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIRJUNIOR,ACTIVE                              ,2016-10-14-16.23.13.000000,,ENIOSANTOS
  ADEMIRJUNIOR,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  ADEMIRJUNIOR,ACTIVE                              ,2017-05-02-16.43.05.000000,,MAXADMIN
  ADEMIRJUNIOR,BLOCKED                             ,2019-04-05-11.09.52.000000,,MAXADMIN
  ADEMIRJUNIOR,ACTIVE                              ,2019-04-05-11.16.53.000000,,MAXADMIN
  ADEMIRJUNIOR,INACTIVE                            ,2020-03-11-10.58.10.000000,Usuario sem acessar os ultimos seis meses,MAXADOOG
  ADEMIROLIVEIRA,NEWREG                              ,2024-01-02-16.13.21.000000,,MAXADMIN
  ADEMIROLIVEIRA,ACTIVE                              ,2024-01-02-16.14.14.000000,,SOCRATESREIS
  ADEMIROLIVEIRA,INACTIVE                            ,2024-03-03-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIRSATHLER,ACTIVE                              ,2019-03-07-10.00.57.000000,,MAXADMIN
  ADEMIRSATHLER,INACTIVE                            ,2020-02-04-17.08.14.000000,Ticket#0124471 - Rescisão Contratual DEZEMBRO 2019,JULINECAETANO
  ADERALDOLOPES,NEWREG                              ,2024-06-23-16.15.56.000000,,MAXADMIN
  ADERALDOLOPES,ACTIVE                              ,2024-06-23-16.16.36.000000,,SOCRATESREIS
  ADERALDOLOPES,INACTIVE                            ,2024-09-30-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADERALDOLOPES,NEWREG                              ,2025-08-03-12.27.28.000000,,ITEAM
  ADERALDOLOPES,ACTIVE                              ,2025-08-04-11.05.44.000000,Ticket#2025080329000111 — Erro - Criação de usuário - Aderaldo Pereira Lopes - Smartcoat.,ITEAM
  ADERALDOLOPES,INACTIVE                            ,2025-10-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADERALDOLOPES,ACTIVE                              ,2026-01-28-09.35.07.356000,,MAXADOOG
  ADERALDOLOPES,INACTIVE                            ,2026-04-08-10.55.13.312000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADILIOMEDEIROS,NEWREG                              ,2023-12-22-20.40.38.000000,,MAXADMIN
  ADILIOMEDEIROS,ACTIVE                              ,2023-12-22-20.41.28.000000,,CAROLINABRAGA
  ADILIOMEDEIROS,BLOCKED                             ,2023-12-27-08.08.44.000000,,MAXADMIN
  ADILIOMEDEIROS,ACTIVE                              ,2023-12-27-08.17.53.000000,,MAXADMIN
  ADILIOMEDEIROS,INACTIVE                            ,2024-02-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADILIOMEDEIROS,ACTIVE                              ,2024-06-28-15.59.52.000000,0363476,HELPDESK
  ADILIOMEDEIROS,INACTIVE                            ,2024-08-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADILSONCABRAL,ACTIVE                              ,2014-03-07-17.58.06.000000,,MAXADMIN
  ADILSONCABRAL,BLOCKED                             ,2017-06-15-14.46.06.000000,,MAXADMIN
  ADILSONCABRAL,ACTIVE                              ,2017-06-15-21.32.31.000000,,HELPDESK
  ADILSONCABRAL,INACTIVE                            ,2024-05-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADILSONCONCEICAO,NEWREG                              ,2023-12-23-19.43.16.000000,,MAXADMIN
  ADILSONCONCEICAO,ACTIVE                              ,2023-12-23-19.45.38.000000,,CAROLINABRAGA
  ADILSONCONCEICAO,INACTIVE                            ,2024-02-29-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,NEWREG                              ,2025-10-08-16.34.45.000000,,ITEAM
  ADIVINOMONTEIRO,ACTIVE                              ,2025-10-08-16.35.30.000000,,SOCRATESREIS
  ADIVINOMONTEIRO,INACTIVE                            ,2025-12-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2026-01-28-09.35.07.360000,,MAXADOOG
  ADIVINOMONTEIRO,INACTIVE                            ,2026-04-08-10.55.14.600000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADOLFOJULIO,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  ADOLFOJULIO,INACTIVE                            ,2022-12-05-11.23.50.000000,Ticket#0266651,ITEAM
  ADRIANO,NEWREG                              ,2025-10-14-08.06.20.000000,,ITEAM
  ADRIANO,ACTIVE                              ,2025-10-14-08.07.21.000000,,SOCRATESREIS
  ADRIANO,INACTIVE                            ,2025-10-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANO,ACTIVE                              ,2026-01-28-09.35.07.362000,,MAXADOOG
  ADRIANO,INACTIVE                            ,2026-04-08-10.55.17.341000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAZEREDO,ACTIVE                              ,2023-10-31-14.58.44.000000,,ITEAM
  ADRIANOAZEREDO,INACTIVE                            ,2024-05-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAZEREDO,ACTIVE                              ,2024-05-30-12.25.39.000000,0359070,HELPDESK
  ADRIANOAZEREDO,INACTIVE                            ,2026-05-26-07.45.01.373000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOAZEREDO,ACTIVE                              ,2026-07-01-07.09.30.956000,Ticket#2026070129000062,HELPDESK
  ADRIANOCALIXTO,ACTIVE                              ,2019-10-18-11.29.18.000000,,THIAGOFROES
  ADRIANOCALIXTO,INACTIVE                            ,2021-10-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2022-12-27-16.40.17.000000,,MAXADOOG
  ADRIANOCALIXTO,INACTIVE                            ,2023-02-16-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2024-07-24-17.03.16.000000,,GREGORYMATOS
  ADRIANOCALIXTO,INACTIVE                            ,2024-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2026-05-29-15.56.15.134000,Ticket#2026052929000648 — Acesso ao Máximo - Criação de WO nos sites offshore,ITEAM
  ADRIANOCARDOSO,NEWREG                              ,2025-12-29-15.02.30.906000,,ITEAM
  ADRIANOCARDOSO,ACTIVE                              ,2025-12-30-00.17.31.372000,,SOCRATESREIS
  ADRIANOCARDOSO,INACTIVE                            ,2026-04-08-10.55.19.173000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOLEAL,ACTIVE                              ,2026-01-19-09.46.45.876000,,ITEAM
  ADRIANOLEAL,BLOCKED                             ,2026-01-21-15.50.53.429000,,MAXADMIN
  ADRIANOLEAL,ACTIVE                              ,2026-01-21-15.51.12.648000,,MAXADMIN
  ADRIANOLEAL,INACTIVE                            ,2026-04-20-07.45.01.250000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOPIMENTEL,NEWREG                              ,2025-12-17-15.10.46.002000,,ITEAM
  ADRIANOPIMENTEL,ACTIVE                              ,2025-12-19-11.51.57.259000,,CAROLINABRAGA
  ADRIANOPIMENTEL,INACTIVE                            ,2026-04-08-10.55.18.044000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOSILVA,ACTIVE                              ,2023-05-29-13.29.00.000000,,ITEAM
  ADRIANOSILVA,INACTIVE                            ,2024-06-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIJANSUSA,ACTIVE                              ,2017-01-16-14.33.46.000000,,MAXADMIN
  ADRIJANSUSA,INACTIVE                            ,2019-09-27-14.28.52.000000,Saneamento sonda,MAXADOOG
  AFRANIOGONCALVES,NEWREG                              ,2025-03-06-01.12.17.000000,,MAXADMIN
  AFRANIOGONCALVES,ACTIVE                              ,2025-03-06-01.13.05.000000,,CAROLINABRAGA
  AFRANIOGONCALVES,INACTIVE                            ,2025-05-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFRANIOGONCALVES,ACTIVE                              ,2026-01-28-09.35.07.365000,,MAXADOOG
  AFRANIOGONCALVES,INACTIVE                            ,2026-04-08-10.55.16.891000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGATHAALVARENGA,ACTIVE                              ,2017-07-14-14.50.54.000000,,MAXADOOG
  AGATHAALVARENGA,INACTIVE                            ,2019-09-06-15.46.01.000000,,MAXADOOG
  AGILDOAVELINO,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  AGILDOAVELINO,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  AGILDOAVELINO,ACTIVE                              ,2017-06-22-15.20.40.000000,,MAXADMIN
  AGILDOAVELINO,INACTIVE                            ,2017-06-22-15.26.28.000000,,MAXADMIN
  AGUSTIN,NEWREG                              ,2026-05-21-20.40.00.458000,,MAXADMIN
  AGUSTIN,ACTIVE                              ,2026-05-21-20.40.38.913000,,SOCRATESREIS
  AGUSTIN,INACTIVE                            ,2026-07-11-07.45.01.762000,Usuario inativo por mais de 50 dias,MAXADMIN
  AISLANDANTAS,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  AISLANDANTAS,INACTIVE                            ,2016-12-01-09.51.35.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  AISLANDANTAS,ACTIVE                              ,2023-02-23-17.33.19.000000,,ITEAM
  AISLANDANTAS,INACTIVE                            ,2023-06-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AKYLAPIRES,ACTIVE                              ,2024-04-24-09.27.24.000000,,ITEAM
  AKYLAPIRES,INACTIVE                            ,2026-04-08-10.55.13.901000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAILTORANGEL,NEWREG                              ,2025-06-01-21.04.59.000000,,ITEAM
  ALAILTORANGEL,ACTIVE                              ,2025-06-01-21.05.30.000000,,CAROLINABRAGA
  ALAILTORANGEL,INACTIVE                            ,2025-07-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAILTORANGEL,ACTIVE                              ,2026-01-28-09.35.07.367000,,MAXADOOG
  ALAILTORANGEL,INACTIVE                            ,2026-04-08-10.55.17.210000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAMOLIVEIRA,ACTIVE                              ,2025-08-11-15.52.49.000000,,ITEAM
  ALAMOLIVEIRA,INACTIVE                            ,2025-10-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAMOLIVEIRA,ACTIVE                              ,2026-01-28-09.35.07.370000,,MAXADOOG
  ALAMOLIVEIRA,INACTIVE                            ,2026-04-08-10.55.17.244000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANBALANIUK,NEWREG                              ,2024-01-06-18.39.12.000000,,MAXADMIN
  ALANBALANIUK,ACTIVE                              ,2024-01-06-18.40.38.000000,,SOCRATESREIS
  ALANBALANIUK,INACTIVE                            ,2024-02-26-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANBARBOZA,NEWREG                              ,2025-12-17-14.41.18.342000,,ITEAM
  ALANBARBOZA,ACTIVE                              ,2025-12-19-11.44.22.074000,,CAROLINABRAGA
  ALANBARBOZA,INACTIVE                            ,2026-04-08-10.55.17.923000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANBARROSO,ACTIVE                              ,2018-04-12-16.05.58.000000,,JULINECAETANO
  ALANBARROSO,INACTIVE                            ,2019-07-18-17.51.25.000000,Ticket#088012 — Emissão de Rescisão Contratual - ALAN AUGUSTO BARROSO,THIAGOFROES
  ALANDEIVIS,NEWREG                              ,2025-06-10-07.04.04.000000,,ITEAM
  ALANDEIVIS,ACTIVE                              ,2025-06-10-07.04.37.000000,,CAROLINABRAGA
  ALANDEIVIS,INACTIVE                            ,2025-09-04-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANDEIVIS,ACTIVE                              ,2026-01-28-09.35.07.372000,,MAXADOOG
  ALANDEIVIS,INACTIVE                            ,2026-04-08-10.55.17.218000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANFERREIRA,ACTIVE                              ,2024-07-03-16.33.30.000000,,MAXADOOG
  ALANFERREIRA,BLOCKED                             ,2024-07-05-18.54.41.000000,,MAXADMIN
  ALANFERREIRA,ACTIVE                              ,2024-07-05-19.04.03.000000,,MAXADMIN
  ALANROSA,NEWREG                              ,2026-05-25-14.52.03.481000,,MAXADMIN
  ALANROSA,ACTIVE                              ,2026-05-25-14.58.34.091000,,SOCRATESREIS
  ALBERTOCABRAL_TER,ACTIVE                              ,2025-10-20-15.11.43.000000,,ITEAM
  ALBERTOCABRAL_TER,INACTIVE                            ,2026-04-08-10.55.12.971000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTOSILVEIRA,NEWREG                              ,2025-07-06-17.20.30.000000,,ITEAM
  ALBERTOSILVEIRA,ACTIVE                              ,2025-07-06-17.21.02.000000,,CAROLINABRAGA
  ALBERTOSILVEIRA,INACTIVE                            ,2025-09-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALBERTOSILVEIRA,ACTIVE                              ,2026-01-28-09.35.07.378000,,MAXADOOG
  ALBERTOSILVEIRA,INACTIVE                            ,2026-04-08-10.55.17.253000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALCFERREIRA,NEWREG                              ,2026-02-23-14.43.34.835000,,ITEAM
  ALCFERREIRA,ACTIVE                              ,2026-02-23-20.03.11.371000,,SOCRATESREIS
  ALCFERREIRA,INACTIVE                            ,2026-03-13-04.37.05.040000,Automatic Inativate expired user access,MAXADMIN
  ALCIDESNETO,ACTIVE                              ,2023-10-31-15.29.41.000000,,ITEAM
  ALCIMARSILVA,NEWREG                              ,2026-01-06-10.46.22.660000,,ITEAM
  ALCIMARSILVA,ACTIVE                              ,2026-01-06-15.27.40.315000,,SOCRATESREIS
  ALCIMARSILVA,INACTIVE                            ,2026-04-08-10.55.19.294000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALDEIRLEAO,NEWREG                              ,2026-01-16-11.32.58.260000,,ITEAM
  ALDEIRLEAO,ACTIVE                              ,2026-01-16-13.21.14.402000,,CAROLINABRAGA
  ALDEIRLEAO,INACTIVE                            ,2026-04-13-07.45.01.503000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALDENIRGOUVEIA,NEWREG                              ,2026-04-23-03.25.22.001000,,MAXADMIN
  ALDENIRGOUVEIA,ACTIVE                              ,2026-04-23-03.28.15.847000,,SOCRATESREIS
  ALDENIRGOUVEIA,INACTIVE                            ,2026-06-13-07.45.01.206000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALECILDO THEODORO,NEWREG                              ,2024-03-09-09.03.10.000000,,MAXREG
  ALECILDOTHEODORO,NEWREG                              ,2024-03-09-10.02.53.000000,,MAXADMIN
  ALECILDOTHEODORO,ACTIVE                              ,2024-03-11-10.08.01.000000,,CAROLINABRAGA
  ALECILDOTHEODORO,INACTIVE                            ,2024-05-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALECILDOTHEODORO,ACTIVE                              ,2024-08-08-09.52.32.000000,0369651,HELPDESK
  ALECILDOTHEODORO,INACTIVE                            ,2024-10-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALECILDOTHEODORO,ACTIVE                              ,2024-10-21-10.22.29.000000,Ticket#0376245 — Acesso ao Máximo,ITEAM
  ALECILDOTHEODORO,INACTIVE                            ,2024-12-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALECILDOTHEODORO,ACTIVE                              ,2025-01-01-15.37.41.000000,29000235,HELPDESK
  ALECILDOTHEODORO,INACTIVE                            ,2025-02-21-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALECILDOTHEODORO,ACTIVE                              ,2026-01-28-09.35.07.382000,,MAXADOOG
  ALECILDOTHEODORO,INACTIVE                            ,2026-04-08-10.55.14.250000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEKSANDROMAICK,ACTIVE                              ,2017-06-21-10.32.26.000000,,PAULOPARREIRA
  ALEKSANDROMAICK,INACTIVE                            ,2018-09-03-09.33.53.000000,Ticket#016740 — Atualização de usuarios MAXIMO - Processo de inativação,RENANAVNER
  ALESSANDROBATISTA,NEWREG                              ,2026-02-10-09.00.18.244000,,ITEAM
  ALESSANDROBATISTA,ACTIVE                              ,2026-02-10-09.04.09.464000,,SOCRATESREIS
  ALESSANDROBATISTA,INACTIVE                            ,2026-04-08-10.55.20.703000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROJARDIM,NEWREG                              ,2025-11-09-13.41.56.000000,,ITEAM
  ALESSANDROJARDIM,ACTIVE                              ,2025-11-09-13.43.29.000000,,SOCRATESREIS
  ALESSANDROJARDIM,INACTIVE                            ,2026-04-29-01.00.01.726000,Automatic Inativate expired user access,MAXADMIN
  ALESSANDROMELO,NEWREG                              ,2025-03-15-16.17.24.000000,,MAXADMIN
  ALESSANDROMELO,ACTIVE                              ,2025-03-15-16.20.39.000000,,CAROLINABRAGA
  ALESSANDROMELO,INACTIVE                            ,2025-05-06-20.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROMELO,ACTIVE                              ,2026-01-28-09.35.07.386000,,MAXADOOG
  ALESSANDROMELO,INACTIVE                            ,2026-04-08-10.55.15.199000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROPAQUELI,ACTIVE                              ,2024-03-20-08.21.00.000000,,ITEAM
  ALESSANDROPAQUELI,INACTIVE                            ,2024-08-18-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROPASINI,ACTIVE                              ,2023-05-22-18.03.29.000000,,ITEAM
  ALESSANDROPASINI,INACTIVE                            ,2023-05-23-14.41.52.000000,,ITEAM
  ALESSANDROSOUZA,ACTIVE                              ,2018-06-20-19.09.21.000000,,MAXADOOG
  ALESSANDROSOUZA,INACTIVE                            ,2022-06-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALESSANDROSOUZA,ACTIVE                              ,2022-06-24-10.01.29.000000,Ticket#0244590 — FW: Problemas com login plataforma MAXIMO - usuário: Alessandro D. de Souza,ITEAM
  ALESSANDROSOUZA,INACTIVE                            ,2022-09-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2019-10-21-14.09.54.000000,,THIAGOFROES
  ALEXANDREBONAVITA,INACTIVE                            ,2020-03-11-11.00.46.000000,usuario sem acesso a unidade,MAXADOOG
  ALEXANDREBONAVITA,ACTIVE                              ,2022-03-03-09.13.10.000000,0230571 — Reestabelecer acesso Sistema MAXIMO,ITEAM
  ALEXANDREBONAVITA,INACTIVE                            ,2022-04-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREBONAVITA,ACTIVE                              ,2026-01-05-16.48.55.412000,2026010529001065,HELPDESK
  ALEXANDREBONAVITA,INACTIVE                            ,2026-04-08-10.55.12.308000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRECURY,ACTIVE                              ,2026-01-13-12.50.23.397000,,ITEAM
