IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AADOSSANTOS,NEWREG                              ,2026-01-26-02.07.47.403000,,ITEAM
  ADEILSONSOUZA,NEWREG                              ,2024-03-30-16.18.31.000000,,MAXADMIN
  ADEILSONSOUZA,ACTIVE                              ,2024-03-30-16.19.10.000000,,SILVERIOMAIA
  ADEILSONSOUZA,INACTIVE                            ,2024-05-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONSOUZA,ACTIVE                              ,2024-06-15-20.03.40.000000,Ticket#0361579,HELPDESK
  ADEILSONSOUZA,INACTIVE                            ,2024-06-16-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEILSONSOUZA,ACTIVE                              ,2024-06-16-11.08.20.000000,,HELPDESK
  ADEILSONSOUZA,INACTIVE                            ,2024-08-15-09.25.14.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMILTONSILVA,ACTIVE                              ,2023-10-19-14.00.22.000000,,ITEAM
  ADEMILTONSILVA,BLOCKED                             ,2024-01-29-17.51.49.000000,,MAXADMIN
  ADEMILTONSILVA,ACTIVE                              ,2024-01-29-17.53.46.000000,,MAXADMIN
  ADEMILTONSILVA,INACTIVE                            ,2024-09-30-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMILTONSILVA,ACTIVE                              ,2024-11-02-12.09.07.000000,0377288,HELPDESK
  ADEMILTONSILVA,BLOCKED                             ,2025-01-30-06.08.19.000000,,MAXADMIN
  ADEMILTONSILVA,ACTIVE                              ,2025-01-30-06.15.37.000000,,MAXADMIN
  ADEMILTONSILVA,INACTIVE                            ,2025-04-23-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADEMIRJUNIOR,ACTIVE                              ,2016-10-14-16.08.26.000000,,ENIOSANTOS
  ADEMIRJUNIOR,INACTIVE                            ,2021-02-26-08.43.40.000000,,MAXADOOG
  ADEMIRSILVA,NEWREG                              ,2024-02-24-11.48.09.000000,,MAXADMIN
  ADEMIRSILVA,ACTIVE                              ,2024-02-24-11.54.19.000000,,SILVERIOMAIA
  ADEMIRSILVA,INACTIVE                            ,2024-04-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADENILSONCRUZ,NEWREG                              ,2024-07-20-14.53.58.000000,,MAXADMIN
  ADENILSONCRUZ,ACTIVE                              ,2024-07-20-15.01.09.000000,,SILVERIOMAIA
  ADENILSONCRUZ,INACTIVE                            ,2024-07-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADENILSONCRUZ,ACTIVE                              ,2024-07-23-06.15.58.000000,,SILVERIOMAIA
  ADENILSONCRUZ,INACTIVE                            ,2024-07-24-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADENILSONOLIVEIRA,NEWREG                              ,2025-02-27-17.03.50.000000,,ITEAM
  ADENILSONOLIVEIRA,ACTIVE                              ,2025-02-27-17.04.42.000000,,LEONARDOFRANCISCO
  ADENILSONOLIVEIRA,BLOCKED                             ,2025-02-28-12.03.41.000000,,MAXADMIN
  ADENILSONOLIVEIRA,ACTIVE                              ,2025-02-28-12.05.59.000000,,MAXADMIN
  ADENILSONOLIVEIRA,INACTIVE                            ,2025-06-14-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADILTONBOTELHO,NEWREG                              ,2025-09-17-16.56.36.000000,,ITEAM
  ADILTONBOTELHO,ACTIVE                              ,2025-09-17-16.57.33.000000,,SILVERIOMAIA
  ADILTONBOTELHO,INACTIVE                            ,2025-11-07-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADIVINOMONTEIRO,NEWREG                              ,2024-03-30-16.16.18.000000,,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-03-30-16.19.36.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-04-14-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-05-29-08.20.41.000000,Ticket#0358772 — Reset de Senha - Maximo,ITEAM
  ADIVINOMONTEIRO,INACTIVE                            ,2024-05-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-05-30-07.11.25.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-05-31-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-05-31-06.13.36.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-03-12.40.59.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-06-07-07.29.14.000000,,UELITONJUNIOR
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-08-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-06-08-06.10.07.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-09-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-06-09-06.11.02.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-10-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-06-10-06.04.18.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-11-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-06-11-06.05.41.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-06-12-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-10-21.55.48.000000,,LEONARDOFRANCISCO
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-11-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-12-23.07.17.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-13-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-17-19.56.34.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-18-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-18-16.53.47.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-19-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-19-16.44.56.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-20-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-20-18.37.43.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-21-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-21-17.09.42.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-22-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADIVINOMONTEIRO,ACTIVE                              ,2024-07-22-18.43.31.000000,,SILVERIOMAIA
  ADIVINOMONTEIRO,INACTIVE                            ,2024-07-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ADRIANEGIOVANA,NEWREG                              ,2025-07-27-07.44.39.000000,,ITEAM
  ADRIANEGIOVANA,ACTIVE                              ,2025-07-27-07.45.46.000000,,LEONARDOFRANCISCO
  ADRIANEGIOVANA,INACTIVE                            ,2025-09-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOALVARENGADEBARROS,NEWREG                              ,2025-07-24-15.47.12.000000,,ITEAM
  ADRIANOALVARENGADEBARROS,ACTIVE                              ,2025-07-24-15.49.41.000000,,LEONARDOFRANCISCO
  ADRIANOALVARENGADEBARROS,INACTIVE                            ,2025-09-13-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOALVARENGADEBARROS,ACTIVE                              ,2026-05-09-13.08.41.062000,,LEONARDOFRANCISCO
  ADRIANOALVARENGADEBARROS,INACTIVE                            ,2026-06-29-07.45.01.765000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBARROS,NEWREG                              ,2023-12-16-14.12.36.000000,,MAXADMIN
  ADRIANOBARROS,ACTIVE                              ,2023-12-16-15.59.37.000000,,LEONARDOFRANCISCO
  ADRIANOBARROS,INACTIVE                            ,2024-02-05-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOBARROS,ACTIVE                              ,2024-07-19-08.52.46.000000,,HELPDESK
  ADRIANOBARROS,INACTIVE                            ,2024-09-13-10.23.36.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2019-10-18-11.27.36.000000,,THIAGOFROES
  ADRIANOCALIXTO,INACTIVE                            ,2020-03-11-10.47.16.000000,Integrantes sem acesso nos ultimos seis meses,MAXADOOG
  ADRIANOCALIXTO,ACTIVE                              ,2021-09-03-18.44.41.000000,,MAXADOOG
  ADRIANOCALIXTO,INACTIVE                            ,2021-11-04-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2022-12-27-16.47.26.000000,,MAXADOOG
  ADRIANOCALIXTO,INACTIVE                            ,2023-02-16-05.04.30.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2024-07-24-17.02.58.000000,,GREGORYMATOS
  ADRIANOCALIXTO,INACTIVE                            ,2024-07-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCALIXTO,ACTIVE                              ,2026-05-29-15.53.34.195000,Ticket#2026052929000648 — Acesso ao Máximo - Criação de WO nos sites offshore,ITEAM
  ADRIANOCOSTA,NEWREG                              ,2024-04-26-14.54.41.000000,,MAXADMIN
  ADRIANOCOSTA,ACTIVE                              ,2024-04-26-15.01.11.000000,,SILVERIOMAIA
  ADRIANOCOSTA,INACTIVE                            ,2024-06-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCUNHA,ACTIVE                              ,2023-10-19-14.02.31.000000,,ITEAM
  ADRIANOCUNHA,INACTIVE                            ,2023-12-09-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCUNHA,ACTIVE                              ,2025-05-16-19.48.43.000000,Ticket#2025051629000656,HELPDESK
  ADRIANOCUNHA,INACTIVE                            ,2025-09-03-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOCUNHA,ACTIVE                              ,2026-05-11-06.28.45.475000,2026051129000047,HELPDESK
  ADRIANOCUNHA,BLOCKED                             ,2026-07-02-07.51.10.084000,,MAXADMIN
  ADRIANOCUNHA,ACTIVE                              ,2026-07-02-07.57.51.167000,,HELPDESK
  ADRIANOFREITAS,NEWREG                              ,2024-11-08-06.07.35.000000,,MAXADMIN
  ADRIANOFREITAS,ACTIVE                              ,2024-11-08-06.09.19.000000,,SILVERIOMAIA
  ADRIANOFREITAS,INACTIVE                            ,2025-07-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOFREITAS,ACTIVE                              ,2025-08-02-20.07.01.000000,Ticket#2025080229000202,HELPDESK
  ADRIANOFREITAS,INACTIVE                            ,2026-05-18-07.45.02.350000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOMACIEL,NEWREG                              ,2025-10-12-13.20.07.000000,,ITEAM
  ADRIANOMACIEL,ACTIVE                              ,2025-10-12-17.19.07.000000,,SILVERIOMAIA
  ADRIANOMACIEL,INACTIVE                            ,2026-03-26-07.45.02.795000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADRIANOSIQUEIRA,NEWREG                              ,2025-05-23-14.45.22.000000,,ITEAM
  ADRIANOSIQUEIRA,ACTIVE                              ,2025-05-23-14.59.24.000000,,SILVERIOMAIA
  ADRIANOSIQUEIRA,INACTIVE                            ,2025-07-13-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ADROALDOJUNIOR,ACTIVE                              ,2018-07-17-19.22.28.000000,,MAXADOOG
  ADROALDOJUNIOR,INACTIVE                            ,2019-01-25-16.22.19.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  ADSANTOS,NEWREG                              ,2025-03-29-09.49.45.000000,,ITEAM
  ADSANTOS,ACTIVE                              ,2025-03-29-09.50.23.000000,,SILVERIOMAIA
  ADSANTOS,INACTIVE                            ,2025-05-25-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFAVIANA,NEWREG                              ,2026-01-26-10.31.08.637000,,ITEAM
  AFAVIANA,ACTIVE                              ,2026-01-26-10.46.19.926000,,LEONARDOFRANCISCO
  AFAVIANA,INACTIVE                            ,2026-03-26-07.45.04.403000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFDESOUZA,NEWREG                              ,2024-07-21-15.16.55.000000,,MAXADMIN
  AFDESOUZA,ACTIVE                              ,2024-07-21-15.18.02.000000,,SILVERIOMAIA
  AFDESOUZA,BLOCKED                             ,2024-07-27-15.33.51.000000,,MAXADMIN
  AFDESOUZA,ACTIVE                              ,2024-07-27-15.40.36.000000,,MAXADMIN
  AFDESOUZA,INACTIVE                            ,2024-09-16-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFGOUVEIA,NEWREG                              ,2025-10-07-21.48.53.000000,,ITEAM
  AFGOUVEIA,ACTIVE                              ,2025-10-07-21.49.37.000000,,SILVERIOMAIA
  AFGOUVEIA,INACTIVE                            ,2025-11-27-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFILHO,NEWREG                              ,2026-03-22-10.49.01.723000,,MAXADMIN
  AFILHO,ACTIVE                              ,2026-03-22-10.56.32.385000,,SILVERIOMAIA
  AFILHO,INACTIVE                            ,2026-07-02-07.45.02.146000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFROTA,NEWREG                              ,2025-07-20-22.08.41.000000,,ITEAM
  AFROTA,ACTIVE                              ,2025-07-20-22.25.29.000000,,SILVERIOMAIA
  AFROTA,INACTIVE                            ,2025-09-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AFSANTOS,NEWREG                              ,2025-10-14-02.35.37.000000,,ITEAM
  AFSANTOS,ACTIVE                              ,2025-10-14-02.49.00.000000,,SILVERIOMAIA
  AFSANTOS,INACTIVE                            ,2026-03-26-07.45.02.927000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGATHAALVARENGA,ACTIVE                              ,2017-06-26-10.49.02.000000,,MAXADOOG
  AGATHAALVARENGA,BLOCKED                             ,2018-11-14-15.53.51.000000,,MAXADMIN
  AGATHAALVARENGA,ACTIVE                              ,2018-11-14-16.00.56.000000,,MAXADMIN
  AGATHAALVARENGA,BLOCKED                             ,2018-12-03-11.36.17.000000,,MAXADMIN
  AGATHAALVARENGA,ACTIVE                              ,2018-12-03-11.45.13.000000,,MAXADMIN
  AGATHAALVARENGA,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  AGEUMARCAL,ACTIVE                              ,2025-01-13-13.03.15.000000,,ITEAM
  AGEUMARCAL,INACTIVE                            ,2025-03-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGGOMES,NEWREG                              ,2025-08-28-17.00.19.000000,,ITEAM
  AGGOMES,ACTIVE                              ,2025-08-28-17.01.09.000000,,LEONARDOFRANCISCO
  AGGOMES,INACTIVE                            ,2025-10-27-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AGPRATA,NEWREG                              ,2026-07-09-16.33.40.513000,,MAXADMIN
  AGPRATA,ACTIVE                              ,2026-07-09-16.34.32.876000,,SILVERIOMAIA
  AGUSTINMARTINEZ,NEWREG                              ,2024-12-10-13.29.57.000000,,MAXADMIN
  AGUSTINMARTINEZ,ACTIVE                              ,2024-12-10-13.31.10.000000,,SILVERIOMAIA
  AGUSTINMARTINEZ,INACTIVE                            ,2024-12-23-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AILTONDAMASCENO,NEWREG                              ,2025-06-03-21.46.52.000000,,ITEAM
  AILTONDAMASCENO,ACTIVE                              ,2025-06-03-21.47.49.000000,,LEONARDOFRANCISCO
  AILTONDAMASCENO,INACTIVE                            ,2025-06-14-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AJAVFILHO,NEWREG                              ,2026-01-26-02.10.57.531000,,ITEAM
  AJAVFILHO,ACTIVE                              ,2026-01-26-02.12.02.615000,,LEONARDOFRANCISCO
  AJAVFILHO,INACTIVE                            ,2026-03-26-07.45.04.392000,Usuario inativo por mais de 50 dias,MAXADMIN
  AJBSILVA,NEWREG                              ,2025-11-06-22.46.29.000000,,ITEAM
  AJBSILVA,ACTIVE                              ,2025-11-06-22.49.06.000000,,SILVERIOMAIA
  AJBSILVA,INACTIVE                            ,2026-03-26-07.45.03.188000,Usuario inativo por mais de 50 dias,MAXADMIN
  AJCHAVES,NEWREG                              ,2025-05-13-17.10.22.000000,,ITEAM
  AJCHAVES,ACTIVE                              ,2025-05-13-17.14.18.000000,,UELITONJUNIOR
  AJCHAVES,INACTIVE                            ,2025-07-03-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAILTOPESSANHA,NEWREG                              ,2025-09-15-08.25.58.000000,,ITEAM
  ALAILTOPESSANHA,ACTIVE                              ,2025-09-15-08.43.35.000000,,SILVERIOMAIA
  ALAILTOPESSANHA,INACTIVE                            ,2025-11-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAMIRSILVA,NEWREG                              ,2025-09-13-15.54.02.000000,,ITEAM
  ALAMIRSILVA,ACTIVE                              ,2025-09-13-16.07.53.000000,,SILVERIOMAIA
  ALAMIRSILVA,INACTIVE                            ,2025-11-03-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAMIRSILVA,ACTIVE                              ,2025-11-29-10.55.47.000000,,SILVERIOMAIA
  ALAMIRSILVA,INACTIVE                            ,2026-03-26-07.45.02.658000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALAN,NEWREG                              ,2024-09-04-16.22.57.000000,,MAXADMIN
  ALAN,ACTIVE                              ,2024-09-04-16.26.52.000000,,LEONARDOFRANCISCO
  ALAN,INACTIVE                            ,2024-10-25-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANBARROSO,ACTIVE                              ,2018-04-10-08.13.55.000000,,JULINECAETANO
  ALANBARROSO,INACTIVE                            ,2019-01-25-16.22.20.000000,Inativando usuarios que não acessaram o sistema nos ultimos seis meses,MAXADOOG
  ALANNAPEREIRA,NEWREG                              ,2024-07-12-10.01.31.000000,,MAXADMIN
  ALANNAPEREIRA,ACTIVE                              ,2024-07-12-10.31.42.000000,,SILVERIOMAIA
  ALANNAPEREIRA,INACTIVE                            ,2024-09-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANNAPOLEAO,NEWREG                              ,2026-05-18-08.45.34.214000,,MAXADMIN
  ALANNAPOLEAO,ACTIVE                              ,2026-05-18-08.47.17.667000,,SILVERIOMAIA
  ALANNAPOLEAO,INACTIVE                            ,2026-07-08-07.45.01.373000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANSOUZA,NEWREG                              ,2024-02-02-13.23.12.000000,,MAXADMIN
  ALANSOUZA,ACTIVE                              ,2024-02-02-13.34.06.000000,,SILVERIOMAIA
  ALANSOUZA,INACTIVE                            ,2024-04-01-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALANTELES,NEWREG                              ,2024-01-06-13.56.13.000000,,MAXADMIN
  ALANTELES,ACTIVE                              ,2024-01-06-13.57.50.000000,,SILVERIOMAIA
  ALANTELES,INACTIVE                            ,2024-03-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
